a0,sig1,b0,sig2,rho,n
-0.74202,0.00661,13.488436,0.435903,-0.171214,737
-0.511199,0.014017,12.931255,0.387442,-0.375488,387
-0.538081,0.045181,11.432863,0.118885,-0.432911,137
0.007101,0.02675,11.867366,1.114229,-0.590404,105
0.896167,0.154649,11.022911,3.843877,-0.533491,4
0.657695,0.065878,38.303245,0.061099,-0.439966,5
0.368725,0.030717,12.495847,1.988443,-0.714137,11
-0.812364,0.005955,13.617579,0.312027,-0.026656,605
-0.635252,0.021803,13.054841,0.876043,0.365547,619
-0.111557,0.074092,13.015451,0.566881,0.121798,152
0.607126,0.05601,21.44273,2.419575,0.453389,7
0.497915,0.246269,11.85438,0.01079,0.860585,3
-0.749157,0.00937,10.546121,0.12971,0.203251,64
-0.790697,0.00616,12.454436,0.396829,0.096875,701
-0.550338,0.013622,12.251433,0.724541,-0.073894,468
-0.012824,0.018636,12.199452,1.061098,-0.182848,68
-0.085207,0.189269,12.281106,0.695156,0.211364,80
0.469376,0.110461,30.169513,0.677993,0.077645,3
1.575418,0.060808,11.663935,0.008797,0.135744,2
-0.676583,0.006481,13.602811,0.45003,-0.136901,664
-0.45723,0.020506,13.579213,0.529296,-0.363146,485
0.102173,0.018382,12.610375,0.57271,-0.430266,76
0.114498,0.300378,13.239544,1.444884,-0.461823,50
-0.448092,0.029593,11.831733,0.162369,0.238278,111
-0.760758,0.007747,11.752908,0.464646,-0.025457,838
-0.487605,0.008923,11.611842,0.478925,-0.370898,291
-0.053496,0.04463,11.531706,0.610017,-0.59626,105
-0.62798,0.021946,10.071318,0.144562,0.525917,109
0.128641,0.341376,12.115854,2.295727,0.038982,43
-1.049068,0.007039,13.968277,0.396661,-0.154135,592
-0.868931,0.023021,13.332506,0.782941,0.119793,661
-0.28624,0.060037,13.048043,0.542007,-0.359561,116
0.784161,0.134909,13.879596,2.082089,-0.576735,5
0.044309,0.058556,17.863072,1.183767,-0.758066,12
-0.741271,0.004541,13.691289,0.278308,-0.140101,560
-0.555452,0.025133,13.179057,0.898672,0.232957,659
-0.059444,0.073151,12.725553,0.732586,-0.072878,155
1.580843,0.041773,10.897126,0.000129,0.341793,2
0.754542,0.17626,26.612224,0.004773,0.36844,10
-0.801051,0.006663,12.948795,0.483087,0.022517,715
-0.604718,0.02739,11.197928,0.191493,0.42488,134
-0.183493,0.071828,12.323556,0.484755,-0.382628,164
-0.590222,0.013,12.63944,0.259868,-0.020938,362
1.135312,0.32642,10.674151,0.006704,0.272261,2
0.521475,0.011973,21.668485,0.000326,0.032045,6
0.948855,0.011802,33.841978,0.599778,-0.488995,2
-0.01235,0.027804,36.399552,0.66832,0.414128,1
-0.823897,0.008582,13.209827,0.370419,-0.146792,770
-0.595291,0.014938,12.961915,0.284142,-0.191119,317
-0.643805,0.0271,11.527013,0.168311,0.293651,148
-0.11614,0.05818,12.335006,0.762394,-0.389666,135
0.66459,0.182062,13.037867,1.337893,-0.549005,15
1.092746,0.089948,11.343151,0.988851,0.249579,1
-0.797016,0.007957,12.673723,0.32026,-0.075,780
-0.650016,0.025201,11.008144,0.184429,0.164084,163
-0.056215,0.046005,12.102234,0.655795,-0.20148,137
-0.555668,0.012018,12.508592,0.336225,0.046848,295
0.435579,0.17639,18.663527,0.63335,0.607146,9
1.521782,0.07585,10.536518,0.000812,0.925157,2
-0.833195,0.005118,13.471635,0.317607,-0.078458,518
-0.653254,0.020326,12.66989,0.928987,0.067384,709
-0.116253,0.076665,12.149249,0.853689,-0.254638,149
0.979244,0.176398,10.601221,3.84074,-0.34305,4
0.344177,0.051059,27.37369,1.129361,0.630086,6
-0.795527,0.004812,13.642726,0.35786,-0.14043,523
-0.592947,0.023616,13.106556,0.335624,-0.16808,594
0.00142,0.015743,11.919835,0.709644,-0.527784,80
-0.713855,0.009786,11.658007,0.142221,-0.283137,78
0.245003,0.249259,11.349129,1.125919,-0.445667,31
-0.44226,0.007887,11.556136,0.079661,-0.189801,68
0.002674,0.092055,21.431325,0.37664,0.53158,11
0.340318,0.05877,20.615647,0.513096,0.841259,1
-0.764832,0.005095,12.221493,0.633569,-0.052568,580
-0.584726,0.024043,11.98698,0.302918,0.118124,498
-0.146986,0.10233,11.524353,0.510799,-0.002671,171
-0.582033,0.027467,10.405284,0.120392,0.361972,128
0.658763,0.020719,22.469067,0.22305,0.045854,4
1.183659,0.127105,29.295367,0.067788,0.22667,3
1.797203,0.126614,10.543682,0.008964,-0.277574,2
-0.839181,0.006224,13.9937,0.23375,0.061867,522
-0.672895,0.024546,13.451919,0.849736,0.046682,692
-0.16711,0.099483,13.181886,0.597048,-0.086283,165
0.779458,0.135442,17.347409,1.270848,-0.569421,3
1.117593,0.069999,11.884376,0.000775,-0.530805,2
-0.934129,0.016968,18.936658,0.897387,0.196076,2
-0.751969,0.004614,13.431582,0.456506,0.005497,584
-0.553598,0.018021,13.228042,0.342519,0.257134,499
-0.533607,0.031214,11.81466,0.210946,0.52455,176
0.080755,0.039762,12.94241,0.599916,-0.361758,116
0.702762,0.059424,32.209635,0.111226,0.196945,9
1.317327,0.045071,12.155596,0.122586,-0.011317,2
-0.750986,0.006299,14.165055,0.321255,0.140037,578
-0.572969,0.023709,13.602051,0.687395,0.267174,607
-0.122856,0.098331,13.226817,0.552925,0.176503,196
1.317591,0.238652,13.268149,2.438298,-0.716751,5
-0.855559,0.007847,12.925104,0.325008,0.193386,710
-0.6699,0.021293,12.375774,0.883527,0.55668,452
-0.326149,0.095776,12.472741,0.601701,0.451599,212
0.444278,0.006374,36.866631,0.752401,0.325619,8
1.071636,0.070497,26.426024,1.113596,0.365061,2
0.412579,0.079599,12.886046,0.391433,0.396713,1
1.648888,0.001453,13.017388,0.045272,0.71455,1
-0.798225,0.004392,11.901613,0.272078,-0.110434,565
-0.577554,0.022438,11.888914,0.261079,0.206576,469
0.016724,0.015331,11.367375,0.507245,-0.15424,94
-0.583988,0.040595,10.424486,0.213446,0.23682,237
0.480493,0.010239,10.93999,0.288099,0.655434,10
1.39507,0.052154,10.352783,0.003395,0.773218,2
0.55407,0.076771,14.045501,0.620908,-0.719819,9
-0.915026,0.006422,13.933792,0.281916,-0.038689,509
-0.756386,0.024839,13.418684,0.883782,0.096239,672
-0.325997,0.14527,13.327007,0.457673,-0.178397,194
0.434514,0.088206,18.106406,0.473935,-0.115093,9
0.275284,0.103338,15.200189,2.97369,0.794486,1
1.837246,0.019491,13.717496,0.691694,0.1116,1
-0.893723,0.02269,12.877607,0.837891,0.200988,649
-1.061781,0.005401,13.385201,0.193786,0.102839,551
-0.453939,0.082629,12.643014,0.540038,0.003861,173
0.180575,0.141012,30.674957,0.007247,0.719533,11
1.299255,0.484534,11.52226,0.007829,0.938579,2
-0.879785,0.004803,12.709376,0.339587,-0.004219,562
-0.677882,0.03264,10.889317,0.16438,0.323527,158
-0.151208,0.073801,11.811266,0.661294,-0.343574,138
-0.702845,0.024331,12.371241,0.379549,0.297462,517
0.617426,0.457457,10.227025,0.084536,0.001026,2
0.373677,0.199261,16.003044,0.342128,-0.28289,9
-0.857535,0.004058,13.319718,0.230569,-0.078755,461
-0.684066,0.027314,12.973423,0.85055,0.126073,798
-0.089643,0.018217,13.331232,0.068622,-0.112711,47
0.43958,0.315715,14.203736,2.060837,-0.112263,31
-0.030402,0.034372,12.287713,0.225227,-0.106084,49
-0.777233,0.006035,11.430179,0.289937,0.191568,579
-0.614185,0.022074,11.106908,1.088205,0.334119,624
-0.069027,0.10819,11.216879,0.730955,0.294436,178
1.028913,0.163079,22.920748,0.461947,0.981141,4
1.793512,0.130486,12.232825,0.440995,0.265234,1
-0.694553,0.026145,13.525184,0.77696,-0.02497,695
-0.863507,0.006306,14.152181,0.24069,-0.151471,578
-0.109362,0.013287,12.910689,0.502425,-0.211187,84
0.292819,0.077419,12.661907,1.261857,0.544345,26
1.001505,0.27663,10.536956,0.067557,-0.259378,2
0.417104,0.038184,30.503856,0.791094,0.08878,1
-0.522431,0.013344,13.240499,0.214715,-0.362173,288
-0.750393,0.00694,13.490619,0.390146,-0.28467,723
-0.62105,0.022092,11.737269,0.138533,0.013903,126
-0.241411,0.130496,12.374861,0.710562,-0.30907,240
0.645391,0.236873,24.390528,0.324379,-0.699348,2
0.643628,0.027557,21.255699,1.748987,-0.168145,6
1.935848,0.03954,9.460886,0.00211,-0.414378,1
-0.961745,0.007101,12.415372,0.239502,0.055637,663
-0.768405,0.020167,12.101014,0.434191,0.440197,393
-0.27921,0.086378,11.407006,0.71245,-0.122636,150
-0.78928,0.025672,10.735566,0.169051,0.275815,162
1.166965,0.322179,9.883942,0.007784,0.289428,2
0.510988,0.054488,18.122688,0.000298,-0.507915,6
-0.875069,0.021659,12.800167,0.703996,-0.699558,10
-0.718142,0.005272,13.146998,0.415094,-0.063689,625
-0.508751,0.016045,13.133717,0.31012,-0.025815,428
-0.021799,0.064754,12.625546,0.633957,-0.372017,143
-0.498495,0.029266,11.514713,0.207208,0.297989,168
1.417017,0.053915,11.188477,0.001543,-0.319357,2
0.564133,0.127223,25.678107,1.581107,-0.153627,18
0.670207,0.005351,12.342303,0.002916,0.466224,2
-0.943326,0.006011,13.142691,0.303956,-0.012865,590
-0.750446,0.022903,13.027468,0.385433,0.422371,456
-0.159712,0.020478,12.63614,0.745044,-0.276381,99
-0.721257,0.029906,11.703744,0.319754,0.370447,217
0.349162,0.082403,13.380739,0.93686,0.075247,20
-0.56257,0.055458,27.226435,0.565678,0.874566,2
1.406062,0.076231,12.498327,0.702555,-0.470125,2
-0.77169,0.005559,11.882018,0.350116,0.087143,637
-0.554011,0.02125,12.171166,0.335653,0.003312,445
-0.593573,0.034212,10.558626,0.256054,0.526146,169
0.001642,0.023828,12.460455,0.60768,-0.091112,102
0.386298,0.348538,13.138342,2.210165,0.193494,33
-0.792211,0.005507,12.290979,0.35332,0.111759,556
-0.633059,0.020275,11.969444,1.084402,0.381852,612
-0.181128,0.104014,12.13688,0.775536,0.347131,214
1.363263,0.057032,15.036338,3.994993,-0.503579,4
-0.815312,0.005162,12.567353,0.381418,0.095727,651
-0.592532,0.022098,12.530021,0.368852,0.268957,469
-0.00483,0.026295,12.451229,0.573738,-0.167014,99
-0.621468,0.031095,10.975521,0.265892,0.627423,146
0.525654,0.134406,13.63208,0.617678,-0.068527,21
-0.83525,0.006231,13.993731,0.238448,-0.025183,600
-0.031653,0.029003,13.131165,0.498758,0.099575,84
-0.656257,0.027286,13.42885,0.786124,0.153804,656
0.550318,0.175246,17.817674,0.018911,-0.746061,6
-0.234153,0.129258,12.165524,0.103736,-0.538817,32
0.524115,0.005702,13.407179,0.363678,0.464038,6
1.375247,0.055442,11.441829,0.000089,-0.458499,2
-0.782163,0.008018,13.330283,0.270585,0.122706,714
-0.583311,0.023949,12.750602,0.823419,0.518018,485
-0.150409,0.104918,12.844453,0.607499,0.254463,183
1.455162,0.051695,12.394247,0.006231,0.534963,2
1.049335,0.008062,29.037602,0.29798,0.585217,1
0.990473,0.022755,24.153365,0.536263,-0.505731,1
-0.773857,0.006525,12.908161,0.435975,0.096666,627
-0.564967,0.023694,12.728193,0.828496,-0.036844,590
0.028601,0.022421,12.76639,0.551438,-0.296244,90
-0.739086,0.003529,10.842751,0.094295,-0.109327,41
0.140508,0.327156,13.107511,1.194514,0.109269,38
-1.031634,0.006883,14.384638,0.267039,0.206891,523
-0.343081,0.074728,13.4251,0.664423,0.106835,156
-0.880404,0.024579,13.728164,0.805584,0.118147,698
0.873513,0.576394,11.785121,0.015891,-0.132263,4
0.590999,0.064298,25.292656,0.683076,-0.431503,5
-0.974024,0.005723,13.647615,0.309774,0.117149,619
-0.78695,0.023122,13.153497,0.859175,0.361655,589
-0.338109,0.083676,13.391038,0.680011,0.194024,168
0.934726,0.073964,13.562621,0.452083,-0.182576,3
0.450742,0.0084,13.978857,1.112575,-0.032824,3
0.600317,0.060625,21.36797,0.475109,-0.666127,4
-0.878528,0.005111,13.912952,0.398322,-0.069812,524
-0.720387,0.020179,13.418441,0.776692,-0.024749,641
-0.313309,0.091472,13.038183,1.083242,-0.46561,205
0.436268,0.287117,13.106382,1.722837,-0.597562,16
-0.797215,0.005168,12.073971,0.293501,-0.060841,511
-0.660059,0.021258,11.735655,0.272666,0.197218,489
-0.228344,0.111005,11.353982,0.641771,-0.335397,216
-0.619269,0.029729,10.252054,0.170996,0.126238,160
0.822023,0.12985,30.621305,2.558195,-0.745312,7
1.075838,0.141729,9.474686,0.000469,0.483014,3
-0.972502,0.003932,13.121165,0.2776,-0.043707,474
-0.795935,0.023115,12.89174,0.581597,-0.067187,672
-0.189096,0.044598,12.466374,0.790442,-0.301615,132
-0.787734,0.030775,11.32637,0.170013,0.311185,94
1.254036,0.17232,11.263191,0.004153,0.508889,2
0.347932,0.007367,14.613952,1.692561,-0.430289,9
0.907925,0.007016,37.958709,1.102329,-0.630308,3
-0.757579,0.007413,13.00464,0.37328,-0.114982,762
-0.505589,0.014486,12.730934,0.825118,-0.548319,352
-0.08246,0.064727,12.373223,1.061562,-0.469569,149
-0.679921,0.015847,11.383288,0.219217,0.334694,108
0.505426,0.136825,27.007773,0.000546,0.414547,13
1.277998,0.069399,9.98841,0.731186,-0.431202,2
